i=  5, j=  6, f=  5, g=  6
i=  8, j= 31, f= 10, g= 11
i=  8, j= 33, f= 10, g= 12
i=  8, j= 39, f= 11, g= 12
i=  8, j= 41, f= 11, g= 13
i=  8, j= 47, f= 12, g= 13
i=  8, j= 49, f= 12, g= 14
i=  8, j= 55, f= 13, g= 14
i=  8, j= 57, f= 13, g= 15
i=  9, j=  8, f=  7, g=  9
i=  9, j= 10, f=  6, g= 10
i=  9, j= 17, f=  8, g= 10
i=  9, j= 19, f=  7, g= 11
i=  9, j= 26, f=  9, g= 11
i=  9, j= 28, f=  8, g= 12
i=  9, j= 35, f= 10, g= 12
i=  9, j= 37, f=  9, g= 13
i=  9, j= 44, f= 11, g= 13
i=  9, j= 46, f= 10, g= 14
i=  9, j= 53, f= 12, g= 14
i=  9, j= 55, f= 11, g= 15
i= 10, j=  9, f=  6, g= 10
i= 10, j= 11, f=  6, g= 11
i= 10, j= 12, f=  5, g=  6
i= 10, j= 19, f=  7, g= 11
i= 10, j= 21, f=  7, g= 12
i= 10, j= 22, f=  6, g=  7
i= 10, j= 29, f=  8, g= 12
i= 10, j= 31, f=  8, g= 13
i= 10, j= 32, f=  7, g=  8
i= 10, j= 39, f=  9, g= 13
i= 10, j= 41, f=  9, g= 14
i= 10, j= 42, f=  8, g=  9
i= 10, j= 49, f= 10, g= 14
i= 10, j= 51, f= 10, g= 15
i= 10, j= 52, f=  9, g= 10
i= 10, j= 59, f= 11, g= 15
i= 11, j=  5, f=  6, g=  7
i= 11, j=  6, f=  6, g=  7
i= 11, j= 10, f=  6, g= 11
i= 11, j= 12, f=  7, g= 12
i= 11, j= 16, f=  7, g=  8
i= 11, j= 17, f=  7, g=  8
i= 11, j= 21, f=  7, g= 12
i= 11, j= 23, f=  8, g= 13
i= 11, j= 27, f=  8, g=  9
i= 11, j= 28, f=  8, g=  9
i= 11, j= 32, f=  8, g= 13
i= 11, j= 34, f=  9, g= 14
i= 11, j= 38, f=  9, g= 10
i= 11, j= 39, f=  9, g= 10
i= 11, j= 43, f=  9, g= 14
i= 11, j= 45, f= 10, g= 15
i= 11, j= 49, f= 10, g= 11
i= 11, j= 50, f= 10, g= 11
i= 11, j= 54, f= 10, g= 15
i= 11, j= 56, f= 11, g= 16
i= 11, j= 60, f= 11, g= 12
i= 12, j= 10, f=  5, g=  6
i= 12, j= 11, f=  7, g= 12
i= 12, j= 13, f=  7, g= 13
i= 12, j= 14, f=  5, g=  7
i= 12, j= 22, f=  6, g=  7
i= 12, j= 23, f=  8, g= 13
i= 12, j= 25, f=  8, g= 14
i= 12, j= 26, f=  6, g=  8
i= 12, j= 34, f=  7, g=  8
i= 12, j= 35, f=  9, g= 14
i= 12, j= 37, f=  9, g= 15
i= 12, j= 38, f=  7, g=  9
i= 12, j= 46, f=  8, g=  9
i= 12, j= 47, f= 10, g= 15
i= 12, j= 49, f= 10, g= 16
i= 12, j= 50, f=  8, g= 10
i= 12, j= 58, f=  9, g= 10
i= 12, j= 59, f= 11, g= 16
i= 13, j=  6, f=  6, g=  8
i= 13, j=  7, f=  6, g=  8
i= 13, j= 12, f=  7, g= 13
i= 13, j= 14, f=  7, g= 14
i= 13, j= 15, f=  8, g=  9
i= 13, j= 19, f=  7, g=  9
i= 13, j= 20, f=  7, g=  9
i= 13, j= 25, f=  8, g= 14
i= 13, j= 27, f=  8, g= 15
i= 13, j= 28, f=  9, g= 10
i= 13, j= 32, f=  8, g= 10
i= 13, j= 33, f=  8, g= 10
i= 13, j= 38, f=  9, g= 15
i= 13, j= 40, f=  9, g= 16
i= 13, j= 41, f= 10, g= 11
i= 13, j= 45, f=  9, g= 11
i= 13, j= 46, f=  9, g= 11
i= 13, j= 51, f= 10, g= 16
i= 13, j= 53, f= 10, g= 17
i= 13, j= 54, f= 11, g= 12
i= 13, j= 58, f= 10, g= 12
i= 13, j= 59, f= 10, g= 12
i= 14, j= 12, f=  5, g=  7
i= 14, j= 13, f=  7, g= 14
i= 14, j= 15, f=  7, g= 15
i= 14, j= 16, f=  7, g=  8
i= 14, j= 17, f=  7, g=  8
i= 14, j= 19, f=  7, g=  8
i= 14, j= 26, f=  6, g=  8
i= 14, j= 27, f=  8, g= 15
i= 14, j= 29, f=  8, g= 16
i= 14, j= 30, f=  8, g=  9
i= 14, j= 31, f=  8, g=  9
i= 14, j= 33, f=  8, g=  9
i= 14, j= 40, f=  7, g=  9
i= 14, j= 41, f=  9, g= 16
i= 14, j= 43, f=  9, g= 17
i= 14, j= 44, f=  9, g= 10
i= 14, j= 45, f=  9, g= 10
i= 14, j= 47, f=  9, g= 10
i= 14, j= 54, f=  8, g= 10
i= 14, j= 55, f= 10, g= 17
i= 14, j= 57, f= 10, g= 18
i= 14, j= 58, f= 10, g= 11
i= 14, j= 59, f= 10, g= 11
i= 15, j=  7, f=  8, g=  9
i= 15, j=  8, f=  8, g=  9
i= 15, j= 13, f=  8, g=  9
i= 15, j= 14, f=  7, g= 15
i= 15, j= 16, f=  7, g= 16
i= 15, j= 17, f=  8, g= 10
i= 15, j= 18, f=  5, g=  6
i= 15, j= 19, f=  7, g=  8
i= 15, j= 22, f=  8, g= 10
i= 15, j= 23, f=  8, g= 10
i= 15, j= 28, f=  8, g= 10
i= 15, j= 29, f=  8, g= 16
i= 15, j= 31, f=  8, g= 17
i= 15, j= 32, f=  9, g= 11
i= 15, j= 33, f=  6, g=  7
i= 15, j= 34, f=  8, g=  9
i= 15, j= 37, f=  9, g= 11
i= 15, j= 38, f=  9, g= 11
i= 15, j= 43, f=  9, g= 11
i= 15, j= 44, f=  9, g= 17
i= 15, j= 46, f=  9, g= 18
i= 15, j= 47, f= 10, g= 12
i= 15, j= 48, f=  7, g=  8
i= 15, j= 49, f=  9, g= 10
i= 15, j= 52, f= 10, g= 12
i= 15, j= 53, f= 10, g= 12
i= 15, j= 58, f= 10, g= 12
i= 15, j= 59, f= 10, g= 18
i= 16, j=  5, f=  7, g=  8
i= 16, j= 11, f=  7, g=  8
i= 16, j= 14, f=  7, g=  8
i= 16, j= 15, f=  7, g= 16
i= 16, j= 17, f=  9, g= 17
i= 16, j= 18, f=  7, g=  9
i= 16, j= 21, f=  8, g=  9
i= 16, j= 27, f=  8, g=  9
i= 16, j= 30, f=  8, g=  9
i= 16, j= 31, f=  8, g= 17
i= 16, j= 33, f= 10, g= 18
i= 16, j= 34, f=  8, g= 10
i= 16, j= 37, f=  9, g= 10
i= 16, j= 43, f=  9, g= 10
i= 16, j= 46, f=  9, g= 10
i= 16, j= 47, f=  9, g= 18
i= 16, j= 49, f= 11, g= 19
i= 16, j= 50, f=  9, g= 11
i= 16, j= 53, f= 10, g= 11
i= 16, j= 59, f= 10, g= 11
i= 17, j=  6, f=  7, g=  8
i= 17, j=  8, f=  8, g= 10
i= 17, j=  9, f=  8, g= 10
i= 17, j= 11, f=  7, g=  8
i= 17, j= 14, f=  7, g=  8
i= 17, j= 15, f=  8, g= 10
i= 17, j= 16, f=  9, g= 17
i= 17, j= 18, f=  8, g= 18
i= 17, j= 20, f=  8, g=  9
i= 17, j= 23, f=  8, g=  9
i= 17, j= 25, f=  9, g= 11
i= 17, j= 26, f=  9, g= 11
i= 17, j= 28, f=  8, g=  9
i= 17, j= 31, f=  8, g=  9
i= 17, j= 32, f=  9, g= 11
i= 17, j= 33, f= 10, g= 18
i= 17, j= 35, f=  9, g= 19
i= 17, j= 36, f= 10, g= 12
i= 17, j= 37, f=  9, g= 10
i= 17, j= 40, f=  9, g= 10
i= 17, j= 42, f= 10, g= 12
i= 17, j= 43, f= 10, g= 12
i= 17, j= 45, f=  9, g= 10
i= 17, j= 48, f=  9, g= 10
i= 17, j= 49, f= 10, g= 12
i= 17, j= 50, f= 11, g= 19
i= 17, j= 52, f= 10, g= 20
i= 17, j= 53, f= 11, g= 13
i= 17, j= 54, f= 10, g= 11
i= 17, j= 57, f= 10, g= 11
i= 17, j= 59, f= 11, g= 13
i= 17, j= 60, f= 11, g= 13
i= 18, j= 15, f=  5, g=  6
i= 18, j= 16, f=  7, g=  9
i= 18, j= 17, f=  8, g= 18
i= 18, j= 19, f=  8, g= 19
i= 18, j= 20, f=  6, g= 10
i= 18, j= 21, f=  5, g=  7
i= 18, j= 33, f=  6, g=  7
i= 18, j= 34, f=  8, g= 10
i= 18, j= 35, f=  9, g= 19
i= 18, j= 37, f=  9, g= 20
i= 18, j= 38, f=  7, g= 11
i= 18, j= 39, f=  6, g=  8
i= 18, j= 51, f=  7, g=  8
i= 18, j= 52, f=  9, g= 11
i= 18, j= 53, f= 10, g= 20
i= 18, j= 55, f= 10, g= 21
i= 18, j= 56, f=  8, g= 12
i= 18, j= 57, f=  7, g=  9
i= 19, j=  6, f=  7, g=  9
i= 19, j=  9, f=  7, g= 11
i= 19, j= 10, f=  7, g= 11
i= 19, j= 13, f=  7, g=  9
i= 19, j= 14, f=  7, g=  8
i= 19, j= 15, f=  7, g=  8
i= 19, j= 18, f=  8, g= 19
i= 19, j= 20, f=  9, g= 20
i= 19, j= 21, f=  8, g= 12
i= 19, j= 22, f=  8, g= 10
i= 19, j= 25, f=  8, g= 10
i= 19, j= 28, f=  8, g= 12
i= 19, j= 29, f=  8, g= 12
i= 19, j= 32, f=  8, g= 10
i= 19, j= 33, f=  8, g=  9
i= 19, j= 34, f=  8, g=  9
i= 19, j= 36, f= 11, g= 12
i= 19, j= 37, f=  9, g= 20
i= 19, j= 39, f= 10, g= 21
i= 19, j= 40, f=  9, g= 13
i= 19, j= 41, f=  9, g= 11
i= 19, j= 44, f=  9, g= 11
i= 19, j= 47, f=  9, g= 13
i= 19, j= 48, f=  9, g= 13
i= 19, j= 51, f=  9, g= 11
i= 19, j= 52, f=  9, g= 10
i= 19, j= 53, f=  9, g= 10
i= 19, j= 55, f= 12, g= 13
i= 19, j= 56, f= 10, g= 21
i= 19, j= 58, f= 11, g= 22
i= 19, j= 59, f= 10, g= 14
i= 19, j= 60, f= 10, g= 12
i= 20, j=  7, f=  7, g=  9
i= 20, j= 13, f=  7, g=  9
i= 20, j= 17, f=  8, g=  9
i= 20, j= 18, f=  6, g= 10
i= 20, j= 19, f=  9, g= 20
i= 20, j= 21, f=  8, g= 21
i= 20, j= 22, f=  6, g= 11
i= 20, j= 23, f=  8, g= 10
i= 20, j= 24, f=  5, g=  6
i= 20, j= 27, f=  8, g= 10
i= 20, j= 33, f=  8, g= 10
i= 20, j= 37, f=  9, g= 10
i= 20, j= 38, f=  7, g= 11
i= 20, j= 39, f=  9, g= 21
i= 20, j= 41, f=  9, g= 22
i= 20, j= 42, f=  7, g= 12
i= 20, j= 43, f=  9, g= 11
i= 20, j= 44, f=  6, g=  7
i= 20, j= 47, f=  9, g= 11
i= 20, j= 53, f=  9, g= 11
i= 20, j= 57, f= 10, g= 11
i= 20, j= 58, f=  8, g= 12
i= 20, j= 59, f= 10, g= 22
i= 21, j=  5, f=  8, g=  9
i= 21, j= 10, f=  7, g= 12
i= 21, j= 11, f=  7, g= 12
i= 21, j= 16, f=  8, g=  9
i= 21, j= 18, f=  5, g=  7
i= 21, j= 19, f=  8, g= 12
i= 21, j= 20, f=  8, g= 21
i= 21, j= 22, f=  8, g= 22
i= 21, j= 23, f=  8, g= 13
i= 21, j= 24, f=  7, g=  8
i= 21, j= 25, f=  8, g= 10
i= 21, j= 26, f=  8, g= 10
i= 21, j= 31, f=  8, g= 13
i= 21, j= 32, f=  8, g= 13
i= 21, j= 37, f=  9, g= 10
i= 21, j= 39, f=  6, g=  8
i= 21, j= 40, f=  9, g= 13
i= 21, j= 41, f=  9, g= 22
i= 21, j= 43, f=  9, g= 23
i= 21, j= 44, f=  9, g= 14
i= 21, j= 45, f=  8, g=  9
i= 21, j= 46, f=  9, g= 11
i= 21, j= 47, f=  9, g= 11
i= 21, j= 52, f=  9, g= 14
i= 21, j= 53, f=  9, g= 14
i= 21, j= 58, f= 10, g= 11
i= 21, j= 60, f=  7, g=  9
i= 22, j=  7, f=  9, g= 10
i= 22, j= 10, f=  6, g=  7
i= 22, j= 12, f=  6, g=  7
i= 22, j= 15, f=  8, g= 10
i= 22, j= 19, f=  8, g= 10
i= 22, j= 20, f=  6, g= 11
i= 22, j= 21, f=  8, g= 22
i= 22, j= 23, f=  8, g= 23
i= 22, j= 24, f=  7, g= 12
i= 22, j= 25, f=  8, g= 11
i= 22, j= 27, f=  8, g=  9
i= 22, j= 29, f=  9, g= 11
i= 22, j= 31, f=  8, g=  9
i= 22, j= 32, f=  7, g=  8
i= 22, j= 34, f=  7, g=  8
i= 22, j= 37, f=  9, g= 11
i= 22, j= 41, f=  9, g= 11
i= 22, j= 42, f=  7, g= 12
i= 22, j= 43, f=  9, g= 23
i= 22, j= 45, f=  9, g= 24
i= 22, j= 46, f=  8, g= 13
i= 22, j= 47, f=  9, g= 12
i= 22, j= 49, f=  9, g= 10
i= 22, j= 51, f= 10, g= 12
i= 22, j= 53, f=  9, g= 10
i= 22, j= 54, f=  8, g=  9
i= 22, j= 56, f=  8, g=  9
i= 22, j= 59, f= 10, g= 12
i= 23, j=  6, f=  8, g=  9
i= 23, j=  8, f=  9, g= 10
i= 23, j= 11, f=  8, g= 13
i= 23, j= 12, f=  8, g= 13
i= 23, j= 15, f=  8, g= 10
i= 23, j= 17, f=  8, g=  9
i= 23, j= 20, f=  8, g= 10
i= 23, j= 21, f=  8, g= 13
i= 23, j= 22, f=  8, g= 23
i= 23, j= 24, f=  8, g= 24
i= 23, j= 25, f= 12, g= 14
i= 23, j= 26, f=  8, g= 11
i= 23, j= 29, f=  9, g= 10
i= 23, j= 31, f= 10, g= 11
i= 23, j= 34, f=  9, g= 14
i= 23, j= 35, f=  9, g= 14
i= 23, j= 38, f=  9, g= 11
i= 23, j= 40, f=  9, g= 10
i= 23, j= 43, f=  9, g= 11
i= 23, j= 44, f=  9, g= 14
i= 23, j= 45, f=  9, g= 24
i= 23, j= 47, f=  9, g= 25
i= 23, j= 48, f= 13, g= 15
i= 23, j= 49, f=  9, g= 12
i= 23, j= 52, f= 10, g= 11
i= 23, j= 54, f= 11, g= 12
i= 23, j= 57, f= 10, g= 15
i= 23, j= 58, f= 10, g= 15
i= 24, j= 20, f=  5, g=  6
i= 24, j= 21, f=  7, g=  8
i= 24, j= 22, f=  7, g= 12
i= 24, j= 23, f=  8, g= 24
i= 24, j= 25, f=  8, g= 25
i= 24, j= 26, f=  7, g= 13
i= 24, j= 27, f=  7, g=  9
i= 24, j= 28, f=  5, g=  7
i= 24, j= 31, f=  8, g=  9
i= 24, j= 35, f=  9, g= 10
i= 24, j= 44, f=  6, g=  7
i= 24, j= 45, f=  8, g=  9
i= 24, j= 46, f=  8, g= 13
i= 24, j= 47, f=  9, g= 25
i= 24, j= 49, f=  9, g= 26
i= 24, j= 50, f=  8, g= 14
i= 24, j= 51, f=  8, g= 10
i= 24, j= 52, f=  6, g=  8
i= 24, j= 55, f=  9, g= 10
i= 24, j= 59, f= 10, g= 11
i= 25, j=  6, f=  8, g= 10
i= 25, j=  8, f=  9, g= 11
i= 25, j= 12, f=  8, g= 14
i= 25, j= 13, f=  8, g= 14
i= 25, j= 17, f=  9, g= 11
i= 25, j= 19, f=  8, g= 10
i= 25, j= 21, f=  8, g= 10
i= 25, j= 22, f=  8, g= 11
i= 25, j= 23, f= 12, g= 14
i= 25, j= 24, f=  8, g= 25
i= 25, j= 26, f=  8, g= 26
i= 25, j= 27, f= 11, g= 15
i= 25, j= 28, f= 10, g= 12
i= 25, j= 30, f=  5, g=  6
i= 25, j= 31, f=  9, g= 11
i= 25, j= 33, f= 10, g= 12
i= 25, j= 37, f=  9, g= 15
i= 25, j= 38, f=  9, g= 15
i= 25, j= 42, f= 10, g= 12
i= 25, j= 44, f=  9, g= 11
i= 25, j= 46, f=  9, g= 11
i= 25, j= 47, f=  9, g= 12
i= 25, j= 48, f= 11, g= 15
i= 25, j= 49, f=  9, g= 26
i= 25, j= 51, f=  9, g= 27
i= 25, j= 52, f= 11, g= 16
i= 25, j= 53, f= 11, g= 13
i= 25, j= 55, f=  6, g=  7
i= 25, j= 56, f= 10, g= 12
i= 25, j= 58, f= 11, g= 13
i= 26, j=  5, f=  9, g= 10
i= 26, j=  9, f=  9, g= 11
i= 26, j= 12, f=  6, g=  8
i= 26, j= 14, f=  6, g=  8
i= 26, j= 17, f=  9, g= 11
i= 26, j= 21, f=  8, g= 10
i= 26, j= 23, f=  8, g= 11
i= 26, j= 24, f=  7, g= 13
i= 26, j= 25, f=  8, g= 26
i= 26, j= 27, f=  8, g= 27
i= 26, j= 28, f=  7, g= 14
i= 26, j= 29, f=  8, g= 12
i= 26, j= 30, f=  8, g=  9
i= 26, j= 31, f=  9, g= 11
i= 26, j= 35, f= 10, g= 12
i= 26, j= 38, f=  7, g=  9
i= 26, j= 40, f=  7, g=  9
i= 26, j= 43, f= 10, g= 12
i= 26, j= 47, f=  9, g= 11
i= 26, j= 49, f=  9, g= 12
i= 26, j= 50, f=  8, g= 14
i= 26, j= 51, f=  9, g= 27
i= 26, j= 53, f=  9, g= 28
i= 26, j= 54, f=  8, g= 15
i= 26, j= 55, f=  9, g= 13
i= 26, j= 56, f=  9, g= 10
i= 26, j= 57, f= 10, g= 12
i= 27, j=  7, f=  8, g= 10
i= 27, j= 11, f=  8, g=  9
i= 27, j= 13, f=  8, g= 15
i= 27, j= 14, f=  8, g= 15
i= 27, j= 16, f=  8, g=  9
i= 27, j= 20, f=  8, g= 10
i= 27, j= 22, f=  8, g=  9
i= 27, j= 24, f=  7, g=  9
i= 27, j= 25, f= 11, g= 15
i= 27, j= 26, f=  8, g= 27
i= 27, j= 28, f=  9, g= 28
i= 27, j= 29, f= 11, g= 16
i= 27, j= 30, f=  6, g= 10
i= 27, j= 34, f=  9, g= 11
i= 27, j= 38, f=  9, g= 10
i= 27, j= 40, f=  9, g= 16
i= 27, j= 41, f=  9, g= 16
i= 27, j= 43, f=  9, g= 10
i= 27, j= 47, f=  9, g= 11
i= 27, j= 49, f=  9, g= 10
i= 27, j= 51, f=  8, g= 10
i= 27, j= 52, f= 12, g= 16
i= 27, j= 53, f=  9, g= 28
i= 27, j= 55, f= 10, g= 29
i= 27, j= 56, f= 12, g= 17
i= 27, j= 57, f=  7, g= 11
i= 28, j=  9, f=  8, g= 12
i= 28, j= 11, f=  8, g=  9
i= 28, j= 13, f=  9, g= 10
i= 28, j= 15, f=  8, g= 10
i= 28, j= 17, f=  8, g=  9
i= 28, j= 19, f=  8, g= 12
i= 28, j= 24, f=  5, g=  7
i= 28, j= 25, f= 10, g= 12
i= 28, j= 26, f=  7, g= 14
i= 28, j= 27, f=  9, g= 28
i= 28, j= 29, f=  9, g= 29
i= 28, j= 30, f=  7, g= 15
i= 28, j= 31, f=  9, g= 13
i= 28, j= 32, f=  7, g=  8
i= 28, j= 33, f=  9, g= 10
i= 28, j= 34, f=  7, g=  8
i= 28, j= 37, f=  9, g= 13
i= 28, j= 38, f=  7, g=  8
i= 28, j= 39, f=  9, g= 10
i= 28, j= 41, f=  9, g= 11
i= 28, j= 43, f=  9, g= 11
i= 28, j= 45, f=  9, g= 10
i= 28, j= 47, f=  9, g= 13
i= 28, j= 52, f=  6, g=  8
i= 28, j= 53, f= 11, g= 13
i= 28, j= 54, f=  8, g= 15
i= 28, j= 55, f= 10, g= 29
i= 28, j= 57, f= 10, g= 30
i= 28, j= 58, f=  8, g= 16
i= 28, j= 59, f= 10, g= 14
i= 28, j= 60, f=  8, g=  9
i= 29, j=  6, f=  9, g= 10
i= 29, j=  7, f= 10, g= 11
i= 29, j= 10, f=  8, g= 12
i= 29, j= 14, f=  8, g= 16
i= 29, j= 15, f=  8, g= 16
i= 29, j= 19, f=  8, g= 12
i= 29, j= 22, f=  9, g= 11
i= 29, j= 23, f=  9, g= 10
i= 29, j= 26, f=  8, g= 12
i= 29, j= 27, f= 11, g= 16
i= 29, j= 28, f=  9, g= 29
i= 29, j= 30, f=  9, g= 30
i= 29, j= 31, f= 16, g= 17
i= 29, j= 32, f= 10, g= 13
i= 29, j= 33, f=  9, g= 12
i= 29, j= 34, f=  9, g= 11
i= 29, j= 35, f=  9, g= 11
i= 29, j= 36, f= 10, g= 12
i= 29, j= 39, f=  9, g= 13
i= 29, j= 43, f=  9, g= 17
i= 29, j= 44, f=  9, g= 17
i= 29, j= 48, f=  9, g= 13
i= 29, j= 51, f= 10, g= 12
i= 29, j= 52, f= 10, g= 11
i= 29, j= 55, f=  9, g= 13
i= 29, j= 56, f= 12, g= 17
i= 29, j= 57, f= 10, g= 30
i= 29, j= 59, f= 10, g= 31
i= 29, j= 60, f= 12, g= 18
